Layer1	Layer2	CKA_Value
dropout	pool	0.9943688695328389
dropout	dropout	0.9943688695328389
dropout	projection	0.9826267068995361
dropout	batch_norm	0.035007856420926985
dropout	fc	0.4626708507817869
projection	spatio_temporal	0.030864679466548667
projection	pool	0.9810940854132087
projection	dropout	0.9810940854132087
projection	projection	0.9913240798025946
projection	batch_norm	0.026359082870420214
projection	fc	0.4941305251685401
batch_norm	spatio_temporal	0.8893816791582282
batch_norm	pool	0.03408966249755111
batch_norm	dropout	0.03408966249755111
batch_norm	projection	0.0258707876817584
batch_norm	batch_norm	0.9872116749460076
batch_norm	fc	0.012941563167455475
fc	spatio_temporal	0.012720966934989081
fc	pool	0.4516035530436864
fc	dropout	0.4516035530436864
fc	projection	0.49169232843570515
fc	batch_norm	0.012304421599165593
fc	fc	0.9562331980906644
spatio_temporal	spatio_temporal	0.963485494353124
spatio_temporal	pool	0.04147775360129237
spatio_temporal	dropout	0.04147775360129237
spatio_temporal	projection	0.03254802655404165
spatio_temporal	batch_norm	0.8839379152550083
spatio_temporal	fc	0.012731743555137898
pool	spatio_temporal	0.042305032953795105
pool	pool	0.9922132851093646
pool	dropout	0.9922132851093646
pool	projection	0.9797680923748483
pool	batch_norm	0.0346178041138635
pool	fc	0.4592100681670026
dropout	spatio_temporal	0.042305032953795105
dropout	pool	0.9922132851093646
dropout	dropout	0.9922132851093646
dropout	projection	0.9797680923748483
dropout	batch_norm	0.0346178041138635
dropout	fc	0.4592100681670026
projection	spatio_temporal	0.03212470985304342
projection	pool	0.9769579571292212
projection	dropout	0.9769579571292212
projection	projection	0.9884514916719367
projection	batch_norm	0.02605328799642051
projection	fc	0.49426049812576156
batch_norm	spatio_temporal	0.9108375067205846
batch_norm	pool	0.03487293177439226
batch_norm	dropout	0.03487293177439226
batch_norm	projection	0.02728370070247407
batch_norm	batch_norm	0.9843086159507318
batch_norm	fc	0.012148727040565093
fc	spatio_temporal	0.013147882594084578
fc	pool	0.44761564111744906
fc	dropout	0.44761564111744906
fc	projection	0.4896640204584616
fc	batch_norm	0.012399413646543516
fc	fc	0.9491583496985873
spatio_temporal	spatio_temporal	0.9639023519517342
spatio_temporal	pool	0.04108569478162168
spatio_temporal	dropout	0.04108569478162168
spatio_temporal	projection	0.03198324194083094
spatio_temporal	batch_norm	0.941759958504732
spatio_temporal	fc	0.0137898234640274
pool	spatio_temporal	0.041340421090308194
pool	pool	0.9905972557868319
pool	dropout	0.9905972557868319
pool	projection	0.9708952575729268
pool	batch_norm	0.03415263798768016
pool	fc	0.4812643568843049
dropout	spatio_temporal	0.041340421090308194
dropout	pool	0.9905972557868319
dropout	dropout	0.9905972557868319
dropout	projection	0.9708952575729268
dropout	batch_norm	0.03415263798768016
dropout	fc	0.4812643568843049
projection	spatio_temporal	0.033628757812813125
