Layer1	Layer2	CKA_Value
batch_norm	temporal	0.41264068872071785
batch_norm	spatial	0.7935980848559515
batch_norm	pool	0.39178435304824216
batch_norm	dropout	0.39178435304824216
batch_norm	batch_norm	0.9533358000330661
batch_norm	fc	0.24116115147054204
fc	temporal	0.011415579171200455
fc	spatial	0.018413216797601682
fc	pool	0.6267402451556938
fc	dropout	0.6267402451556938
fc	batch_norm	0.2484804737440937
fc	fc	0.9541355123566672
temporal	temporal	0.9994243488320749
temporal	spatial	0.5206800923224545
temporal	pool	0.0251611630038545
temporal	dropout	0.0251611630038545
temporal	batch_norm	0.3980393382347164
temporal	fc	0.01114761217916451
spatial	temporal	0.5271223492293787
spatial	spatial	0.9790088273363955
spatial	pool	0.03513239674769204
spatial	dropout	0.03513239674769204
spatial	batch_norm	0.8080157207184003
spatial	fc	0.018141195187633095
pool	temporal	0.02552767316424344
pool	spatial	0.03677910556902877
pool	pool	0.9856230453417726
pool	dropout	0.9856230453417726
pool	batch_norm	0.3918331927512451
pool	fc	0.6246953318682184
dropout	temporal	0.02552767316424344
dropout	spatial	0.03677910556902877
dropout	pool	0.9856230453417726
dropout	dropout	0.9856230453417726
dropout	batch_norm	0.3918331927512451
dropout	fc	0.6246953318682184
batch_norm	temporal	0.4060999367976732
batch_norm	spatial	0.8014296000018494
batch_norm	pool	0.391446628329485
batch_norm	dropout	0.391446628329485
batch_norm	batch_norm	0.9566617900497232
batch_norm	fc	0.23902814702041925
fc	temporal	0.011226714195746569
fc	spatial	0.01848498743376378
fc	pool	0.626563534145131
fc	dropout	0.626563534145131
fc	batch_norm	0.2400769982846644
fc	fc	0.9544920170286174
temporal	temporal	0.9964008481383966
temporal	spatial	0.5208928976003082
temporal	pool	0.02586238679604493
temporal	dropout	0.02586238679604493
temporal	batch_norm	0.3867610642614657
temporal	fc	0.01114934446574006
spatial	temporal	0.5360009655530071
spatial	spatial	0.9659372638139825
spatial	pool	0.03582817784787674
spatial	dropout	0.03582817784787674
spatial	batch_norm	0.7695619027308125
spatial	fc	0.017909168499708618
pool	temporal	0.025188450145321385
pool	spatial	0.03694010218375788
