Layer1	Layer2	CKA_Value
dropout	spatial	0.03860350810891833
dropout	pool	0.9827251659159375
dropout	dropout	0.9827251659159375
dropout	projection	0.9490050433830944
dropout	batch_norm	0.2647663345439072
dropout	fc	0.4070874031201158
projection	temporal	0.02376072022549389
projection	spatial	0.034277336015448176
projection	pool	0.9683782812522792
projection	dropout	0.9683782812522792
projection	projection	0.9817931625424133
projection	batch_norm	0.2570151823365834
projection	fc	0.4703795890257453
batch_norm	temporal	0.5514782750802045
batch_norm	spatial	0.9221086942846979
batch_norm	pool	0.224321112710819
batch_norm	dropout	0.224321112710819
batch_norm	projection	0.21517095792805163
batch_norm	batch_norm	0.9664409550489694
batch_norm	fc	0.09231738414562844
fc	temporal	0.011344365517558273
fc	spatial	0.015100269294769928
fc	pool	0.43815854241188495
fc	dropout	0.43815854241188495
fc	projection	0.4884287454021725
fc	batch_norm	0.11456005841853581
fc	fc	0.9284804166771076
temporal	temporal	0.9938600924882092
temporal	spatial	0.6473883928923527
temporal	pool	0.024246744808814235
temporal	dropout	0.024246744808814235
temporal	projection	0.022047068390120612
temporal	batch_norm	0.5475710331857512
temporal	fc	0.010650714515162965
spatial	temporal	0.701264993484453
spatial	spatial	0.9682344172458642
spatial	pool	0.03779850659134591
spatial	dropout	0.03779850659134591
spatial	projection	0.03465582522585537
spatial	batch_norm	0.9055970675278873
spatial	fc	0.014934752847620525
pool	temporal	0.026996630718107806
pool	spatial	0.03797147615184178
pool	pool	0.9838904579186619
pool	dropout	0.9838904579186619
pool	projection	0.9430143513997139
pool	batch_norm	0.23162741733519254
pool	fc	0.4456906682267035
dropout	temporal	0.026996630718107806
dropout	spatial	0.03797147615184178
dropout	pool	0.9838904579186619
dropout	dropout	0.9838904579186619
dropout	projection	0.9430143513997139
dropout	batch_norm	0.23162741733519254
dropout	fc	0.4456906682267035
projection	temporal	0.024161030846206116
projection	spatial	0.03370158874788621
projection	pool	0.9648466119949286
projection	dropout	0.9648466119949286
projection	projection	0.97717998523499
projection	batch_norm	0.2236962162973516
projection	fc	0.5109694963309247
batch_norm	temporal	0.5495572639891213
batch_norm	spatial	0.9222835835167423
batch_norm	pool	0.22500748437118492
batch_norm	dropout	0.22500748437118492
batch_norm	projection	0.21471274987498604
batch_norm	batch_norm	0.9637477299354031
batch_norm	fc	0.10007836842677695
fc	temporal	0.011344527260165951
fc	spatial	0.014689877181357178
fc	pool	0.439112903333688
fc	dropout	0.439112903333688
fc	projection	0.49396891027767675
fc	batch_norm	0.10057962591517731
fc	fc	0.9319913405304421
temporal	temporal	0.9942272040054506
temporal	spatial	0.7410631469932023
temporal	pool	0.0247396277018624
temporal	dropout	0.0247396277018624
temporal	projection	0.022486212358153783
temporal	batch_norm	0.5722503298086719
temporal	fc	0.011406099355613781
spatial	temporal	0.707079412383577
spatial	spatial	0.9787801610702133
spatial	pool	0.03805545035420582
spatial	dropout	0.03805545035420582
spatial	projection	0.03473104597182467
spatial	batch_norm	0.9110714310194533
spatial	fc	0.015372438992252352
pool	temporal	0.027446926772746422
pool	spatial	0.03965864882920182
pool	pool	0.9861197433218789
pool	dropout	0.9861197433218789
pool	projection	0.9624658687351041
pool	batch_norm	0.23388557021408843
pool	fc	0.4070827661837954
dropout	temporal	0.027446926772746422
dropout	spatial	0.03965864882920182
dropout	pool	0.9861197433218789
dropout	dropout	0.9861197433218789
dropout	projection	0.9624658687351041
dropout	batch_norm	0.23388557021408843
dropout	fc	0.4070827661837954
projection	temporal	0.02459990805545425
projection	spatial	0.035283237833617066
projection	pool	0.9669899787142118
projection	dropout	0.9669899787142118
projection	projection	0.9851175300440483
projection	batch_norm	0.22580047637620046
projection	fc	0.47439000725786906
batch_norm	temporal	0.5546966846685005
batch_norm	spatial	0.8980204457464843
batch_norm	pool	0.2255895915189398
batch_norm	dropout	0.2255895915189398
batch_norm	projection	0.21808428600216465
batch_norm	batch_norm	0.9707604492983677
batch_norm	fc	0.0934281503956663
fc	temporal	0.011647033728640928
fc	spatial	0.015308436567402085
fc	pool	0.43639207580680256
fc	dropout	0.43639207580680256
fc	projection	0.4911833617964317
fc	batch_norm	0.10111427216972693
fc	fc	0.928091427660171
temporal	temporal	0.9955209151668539
temporal	spatial	0.6028705965292046
temporal	pool	0.024353210387344462
temporal	dropout	0.024353210387344462
temporal	projection	0.022497077308448486
temporal	batch_norm	0.5153046186895616
temporal	fc	0.010503865349232816
spatial	temporal	0.7059127439985148
spatial	spatial	0.9651637605661434
spatial	pool	0.03785637368055241
spatial	dropout	0.03785637368055241
spatial	projection	0.03478448976934777
spatial	batch_norm	0.8943986218519865
spatial	fc	0.014518563221039255
pool	temporal	0.02715973521716403
pool	spatial	0.03811311058992311
pool	pool	0.9888814464920193
pool	dropout	0.9888814464920193
pool	projection	0.9615130720505399
pool	batch_norm	0.23362828515633435
pool	fc	0.41667763034999333
dropout	temporal	0.02715973521716403
dropout	spatial	0.03811311058992311
dropout	pool	0.9888814464920193
dropout	dropout	0.9888814464920193
